Bucket_Owner,Bucket,Time,Remote_IP,Requester,Request_ID,Operation,Key,HTTP_method,Request_URI,HTTP_status,Error_Code,Bytes_Sent,Object_Size,Total_Time_ms,Turn_Around_Time_ms,Referrer,User_Agent,Version_Id
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T15:00:01+00:00,52.55.197.86,-,B2B7BB090A22FAB7,REST.GET.OBJECT,airs/AIRS.2015.01.01.L3.RetStd_IR001.v6.0.11.0.G15013155825.nc.h5,GET,/airs/AIRS.2015.01.01.L3.RetStd_IR001.v6.0.11.0.G15013155825.nc.h5,200,-,317074768,317074768,5953,105,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T15:05:13+00:00,52.55.197.86,-,C7A5C75F3DAE7080,REST.GET.OBJECT,airs/AIRS.2015.01.02.L3.RetStd_IR001.v6.0.11.0.G15005190621.nc.h5,GET,/airs/AIRS.2015.01.02.L3.RetStd_IR001.v6.0.11.0.G15005190621.nc.h5,200,-,318843092,318843092,6311,142,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T15:05:23+00:00,52.55.197.86,-,0509616900B7A08A,REST.GET.OBJECT,airs/AIRS.2015.01.03.L3.RetStd_IR001.v6.0.11.0.G15006005549.nc.h5,GET,/airs/AIRS.2015.01.03.L3.RetStd_IR001.v6.0.11.0.G15006005549.nc.h5,200,-,316715058,316715058,4639,292,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T15:05:32+00:00,52.55.197.86,-,2432403B4EC1AB32,REST.GET.OBJECT,airs/AIRS.2015.01.04.L3.RetStd_IR001.v6.0.11.0.G15006043115.nc.h5,GET,/airs/AIRS.2015.01.04.L3.RetStd_IR001.v6.0.11.0.G15006043115.nc.h5,200,-,316042185,316042185,6624,228,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T15:05:43+00:00,52.55.197.86,-,F9FB4DB918334B10,REST.GET.OBJECT,airs/AIRS.2015.01.05.L3.RetStd_IR001.v6.0.11.0.G15007130423.nc.h5,GET,/airs/AIRS.2015.01.05.L3.RetStd_IR001.v6.0.11.0.G15007130423.nc.h5,200,-,316625395,316625395,5386,283,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T15:05:52+00:00,52.55.197.86,-,1A0933A3180F2196,REST.GET.OBJECT,airs/AIRS.2015.01.06.L3.RetStd_IR001.v6.0.11.0.G15007171215.nc.h5,GET,/airs/AIRS.2015.01.06.L3.RetStd_IR001.v6.0.11.0.G15007171215.nc.h5,200,-,318569289,318569289,9084,194,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T15:06:05+00:00,52.55.197.86,-,B13CDF6E74E457DA,REST.GET.OBJECT,airs/AIRS.2015.01.07.L3.RetStd_IR001.v6.0.11.0.G15008175227.nc.h5,GET,/airs/AIRS.2015.01.07.L3.RetStd_IR001.v6.0.11.0.G15008175227.nc.h5,200,-,301093250,301093250,6577,118,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T15:06:16+00:00,52.55.197.86,-,3CA5C79851E4AF2B,REST.GET.OBJECT,airs/AIRS.2015.01.08.L3.RetStd_IR001.v6.0.11.0.G15009164045.nc.h5,GET,/airs/AIRS.2015.01.08.L3.RetStd_IR001.v6.0.11.0.G15009164045.nc.h5,200,-,307140698,307140698,4777,157,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T15:06:25+00:00,52.55.197.86,-,D96B6822C2C888A7,REST.GET.OBJECT,airs/AIRS.2015.01.09.L3.RetStd_IR001.v6.0.11.0.G15010163004.nc.h5,GET,/airs/AIRS.2015.01.09.L3.RetStd_IR001.v6.0.11.0.G15010163004.nc.h5,200,-,318334945,318334945,6622,188,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T15:06:36+00:00,52.55.197.86,-,15E9209B657B40A4,REST.GET.OBJECT,airs/AIRS.2015.01.10.L3.RetStd_IR001.v6.0.11.0.G15011162002.nc.h5,GET,/airs/AIRS.2015.01.10.L3.RetStd_IR001.v6.0.11.0.G15011162002.nc.h5,200,-,319563743,319563743,5876,114,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
