Bucket_Owner,Bucket,Time,Remote_IP,Requester,Request_ID,Operation,Key,HTTP_method,Request_URI,HTTP_status,Error_Code,Bytes_Sent,Object_Size,Total_Time_ms,Turn_Around_Time_ms,Referrer,User_Agent,Version_Id
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-10-26T22:34:39+00:00,74.96.111.45,-,ECFD87DAA8E81842,REST.GET.OBJECT,samples/t_special_char_attr.h5,GET,/cloudydap/samples/t_special_char_attr.h5?foo=bar,200,-,920,920,29,29,-,curl/7.50.3,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-10-27T03:38:43+00:00,74.96.111.45,arn:aws:iam::688542879810:user/ajelenak,D1DAC5369A9A092F,REST.GET.OBJECT,logs/2016-10-27-02-24-04-1920F9434BE4F8E0,GET,/cloudydap/logs/2016-10-27-02-24-04-1920F9434BE4F8E0?X-Amz-Date=20161027T033841Z&X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Signature=606046ee023e7496486a6bc1cf62fafe9090eb77e7a06556cbdf226775875923&X-Amz-Credential=ASIAILZ3HSMDLKU2PHEQ/20161027/us-east-1/s3/aws4_request&X-Amz-SignedHeaders=Host&x-amz-security-token=FQoDYXdzEOX//////////wEaDIi17j8gwNBwnVtReiKiAwxCIHW1C2ZvFTnU2sTHF4sziuT9uxB4nCJPH0irI2rAUzPLhV04fg%2Bxcdqmbdzj3vtixqMGYMZplOCC2eodLyRQcf8fHXYrvUfH4ICAEwxIicCVJctILQtLKnsQnQ%2BOzJUJIfAJ/imM3GmZX8eF7hihI4l2TFMC32CyprarOqswmSphzRDnG87gaNqXO8Pun1iB%2BaVYOiplccXWOenzZUwzU4h5CNMRxtM4q0CCd6S5ZMsEknFj8QgGqrhJ7OTlksrH8D2hIIDb/TDTjaauoBotjPXH6iifvJuLsfGqJEF7QFgj0hiU5GMf5/pozje6PJQE9EEaoeBLqXzrNfiY5E9fzFjFl9cbRe/cMCbmJ1NrD37ibYX0U%2BlzRuA18%2BXifG5y0vichqvGiOtdOCmzLs/7W7BDku72m6vYQsE6nNmRMxFu/isH6rKM2Dcfuku%2BMvF58bzf8glu/cUmIT0wAQ32NDnX80egkNTrhsD9isPu5kM7BTLhH2SomLTdf36tCnEGn%2BeQHLv4M0t8G21mKGMG4phn8TdXdzHAYxl0jGubxScon%2BzFwAU%3D,200,-,368,368,48,48,https://s3-console-us-standard.console.aws.amazon.com/GetResource/Console.html?region=us-west-2&pageLoadStartTime=1477539364735,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-10-27T03:40:58+00:00,74.96.111.45,arn:aws:iam::688542879810:user/ajelenak,2286ADE5AADD7575,REST.GET.OBJECT,logs/2016-10-26-23-30-44-65DD0B9C3C1F741B,GET,/cloudydap/logs/2016-10-26-23-30-44-65DD0B9C3C1F741B?X-Amz-Date=20161027T034057Z&X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Signature=521d2ab0e131f9e276aba308860aea86debba22937606f265c305ee262574182&X-Amz-Credential=ASIAILZ3HSMDLKU2PHEQ/20161027/us-east-1/s3/aws4_request&X-Amz-SignedHeaders=Host&x-amz-security-token=FQoDYXdzEOX//////////wEaDIi17j8gwNBwnVtReiKiAwxCIHW1C2ZvFTnU2sTHF4sziuT9uxB4nCJPH0irI2rAUzPLhV04fg%2Bxcdqmbdzj3vtixqMGYMZplOCC2eodLyRQcf8fHXYrvUfH4ICAEwxIicCVJctILQtLKnsQnQ%2BOzJUJIfAJ/imM3GmZX8eF7hihI4l2TFMC32CyprarOqswmSphzRDnG87gaNqXO8Pun1iB%2BaVYOiplccXWOenzZUwzU4h5CNMRxtM4q0CCd6S5ZMsEknFj8QgGqrhJ7OTlksrH8D2hIIDb/TDTjaauoBotjPXH6iifvJuLsfGqJEF7QFgj0hiU5GMf5/pozje6PJQE9EEaoeBLqXzrNfiY5E9fzFjFl9cbRe/cMCbmJ1NrD37ibYX0U%2BlzRuA18%2BXifG5y0vichqvGiOtdOCmzLs/7W7BDku72m6vYQsE6nNmRMxFu/isH6rKM2Dcfuku%2BMvF58bzf8glu/cUmIT0wAQ32NDnX80egkNTrhsD9isPu5kM7BTLhH2SomLTdf36tCnEGn%2BeQHLv4M0t8G21mKGMG4phn8TdXdzHAYxl0jGubxScon%2BzFwAU%3D,200,-,288,288,56,55,https://s3-console-us-standard.console.aws.amazon.com/GetResource/Console.html?region=us-west-2&pageLoadStartTime=1477539364735,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-10-27T03:40:31+00:00,74.96.111.45,arn:aws:iam::688542879810:user/ajelenak,EA1C2EBE57C413C0,REST.GET.OBJECT,logs/2016-10-26-23-21-38-91983563D3C70FD3,GET,/cloudydap/logs/2016-10-26-23-21-38-91983563D3C70FD3?X-Amz-Date=20161027T034030Z&X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Signature=719108a25d99fd2f50336080c6df8301c74dece9bbd1ac5326ec760e337404ac&X-Amz-Credential=ASIAILZ3HSMDLKU2PHEQ/20161027/us-east-1/s3/aws4_request&X-Amz-SignedHeaders=Host&x-amz-security-token=FQoDYXdzEOX//////////wEaDIi17j8gwNBwnVtReiKiAwxCIHW1C2ZvFTnU2sTHF4sziuT9uxB4nCJPH0irI2rAUzPLhV04fg%2Bxcdqmbdzj3vtixqMGYMZplOCC2eodLyRQcf8fHXYrvUfH4ICAEwxIicCVJctILQtLKnsQnQ%2BOzJUJIfAJ/imM3GmZX8eF7hihI4l2TFMC32CyprarOqswmSphzRDnG87gaNqXO8Pun1iB%2BaVYOiplccXWOenzZUwzU4h5CNMRxtM4q0CCd6S5ZMsEknFj8QgGqrhJ7OTlksrH8D2hIIDb/TDTjaauoBotjPXH6iifvJuLsfGqJEF7QFgj0hiU5GMf5/pozje6PJQE9EEaoeBLqXzrNfiY5E9fzFjFl9cbRe/cMCbmJ1NrD37ibYX0U%2BlzRuA18%2BXifG5y0vichqvGiOtdOCmzLs/7W7BDku72m6vYQsE6nNmRMxFu/isH6rKM2Dcfuku%2BMvF58bzf8glu/cUmIT0wAQ32NDnX80egkNTrhsD9isPu5kM7BTLhH2SomLTdf36tCnEGn%2BeQHLv4M0t8G21mKGMG4phn8TdXdzHAYxl0jGubxScon%2BzFwAU%3D,200,-,272,272,35,34,https://s3-console-us-standard.console.aws.amazon.com/GetResource/Console.html?region=us-west-2&pageLoadStartTime=1477539364735,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-10-27T03:39:42+00:00,74.96.111.45,arn:aws:iam::688542879810:user/ajelenak,43AFA70C2063917B,REST.GET.OBJECT,logs/2016-10-26-23-21-05-77CCF8866BBD2A9D,GET,/cloudydap/logs/2016-10-26-23-21-05-77CCF8866BBD2A9D?X-Amz-Date=20161027T033941Z&X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Signature=0b43f43e026a53f17bb21befa6d40c32f8b18c56f08eebeb995232ef16945304&X-Amz-Credential=ASIAILZ3HSMDLKU2PHEQ/20161027/us-east-1/s3/aws4_request&X-Amz-SignedHeaders=Host&x-amz-security-token=FQoDYXdzEOX//////////wEaDIi17j8gwNBwnVtReiKiAwxCIHW1C2ZvFTnU2sTHF4sziuT9uxB4nCJPH0irI2rAUzPLhV04fg%2Bxcdqmbdzj3vtixqMGYMZplOCC2eodLyRQcf8fHXYrvUfH4ICAEwxIicCVJctILQtLKnsQnQ%2BOzJUJIfAJ/imM3GmZX8eF7hihI4l2TFMC32CyprarOqswmSphzRDnG87gaNqXO8Pun1iB%2BaVYOiplccXWOenzZUwzU4h5CNMRxtM4q0CCd6S5ZMsEknFj8QgGqrhJ7OTlksrH8D2hIIDb/TDTjaauoBotjPXH6iifvJuLsfGqJEF7QFgj0hiU5GMf5/pozje6PJQE9EEaoeBLqXzrNfiY5E9fzFjFl9cbRe/cMCbmJ1NrD37ibYX0U%2BlzRuA18%2BXifG5y0vichqvGiOtdOCmzLs/7W7BDku72m6vYQsE6nNmRMxFu/isH6rKM2Dcfuku%2BMvF58bzf8glu/cUmIT0wAQ32NDnX80egkNTrhsD9isPu5kM7BTLhH2SomLTdf36tCnEGn%2BeQHLv4M0t8G21mKGMG4phn8TdXdzHAYxl0jGubxScon%2BzFwAU%3D,200,-,319,319,58,57,https://s3-console-us-standard.console.aws.amazon.com/GetResource/Console.html?region=us-west-2&pageLoadStartTime=1477539364735,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-10-27T03:40:48+00:00,74.96.111.45,arn:aws:iam::688542879810:user/ajelenak,93E39AC18F00B0FF,REST.GET.OBJECT,logs/2016-10-26-23-26-37-B781093371F27375,GET,/cloudydap/logs/2016-10-26-23-26-37-B781093371F27375?X-Amz-Date=20161027T034047Z&X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Signature=7f5ab47efd3b19f85ad0cc44dcdcb8fdddf02c742328d0e9bb42f7ccc7a930a9&X-Amz-Credential=ASIAILZ3HSMDLKU2PHEQ/20161027/us-east-1/s3/aws4_request&X-Amz-SignedHeaders=Host&x-amz-security-token=FQoDYXdzEOX//////////wEaDIi17j8gwNBwnVtReiKiAwxCIHW1C2ZvFTnU2sTHF4sziuT9uxB4nCJPH0irI2rAUzPLhV04fg%2Bxcdqmbdzj3vtixqMGYMZplOCC2eodLyRQcf8fHXYrvUfH4ICAEwxIicCVJctILQtLKnsQnQ%2BOzJUJIfAJ/imM3GmZX8eF7hihI4l2TFMC32CyprarOqswmSphzRDnG87gaNqXO8Pun1iB%2BaVYOiplccXWOenzZUwzU4h5CNMRxtM4q0CCd6S5ZMsEknFj8QgGqrhJ7OTlksrH8D2hIIDb/TDTjaauoBotjPXH6iifvJuLsfGqJEF7QFgj0hiU5GMf5/pozje6PJQE9EEaoeBLqXzrNfiY5E9fzFjFl9cbRe/cMCbmJ1NrD37ibYX0U%2BlzRuA18%2BXifG5y0vichqvGiOtdOCmzLs/7W7BDku72m6vYQsE6nNmRMxFu/isH6rKM2Dcfuku%2BMvF58bzf8glu/cUmIT0wAQ32NDnX80egkNTrhsD9isPu5kM7BTLhH2SomLTdf36tCnEGn%2BeQHLv4M0t8G21mKGMG4phn8TdXdzHAYxl0jGubxScon%2BzFwAU%3D,200,-,317,317,48,47,https://s3-console-us-standard.console.aws.amazon.com/GetResource/Console.html?region=us-west-2&pageLoadStartTime=1477539364735,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-10-27T03:40:18+00:00,74.96.111.45,arn:aws:iam::688542879810:user/ajelenak,87865918D6FB550D,REST.GET.OBJECT,logs/2016-10-26-23-21-36-7C1E6F33E136254C,GET,/cloudydap/logs/2016-10-26-23-21-36-7C1E6F33E136254C?X-Amz-Date=20161027T034017Z&X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Signature=a3a4b81b48490453dcdaf9febfe61e591c35ecb70fb810278884e76b06422170&X-Amz-Credential=ASIAILZ3HSMDLKU2PHEQ/20161027/us-east-1/s3/aws4_request&X-Amz-SignedHeaders=Host&x-amz-security-token=FQoDYXdzEOX//////////wEaDIi17j8gwNBwnVtReiKiAwxCIHW1C2ZvFTnU2sTHF4sziuT9uxB4nCJPH0irI2rAUzPLhV04fg%2Bxcdqmbdzj3vtixqMGYMZplOCC2eodLyRQcf8fHXYrvUfH4ICAEwxIicCVJctILQtLKnsQnQ%2BOzJUJIfAJ/imM3GmZX8eF7hihI4l2TFMC32CyprarOqswmSphzRDnG87gaNqXO8Pun1iB%2BaVYOiplccXWOenzZUwzU4h5CNMRxtM4q0CCd6S5ZMsEknFj8QgGqrhJ7OTlksrH8D2hIIDb/TDTjaauoBotjPXH6iifvJuLsfGqJEF7QFgj0hiU5GMf5/pozje6PJQE9EEaoeBLqXzrNfiY5E9fzFjFl9cbRe/cMCbmJ1NrD37ibYX0U%2BlzRuA18%2BXifG5y0vichqvGiOtdOCmzLs/7W7BDku72m6vYQsE6nNmRMxFu/isH6rKM2Dcfuku%2BMvF58bzf8glu/cUmIT0wAQ32NDnX80egkNTrhsD9isPu5kM7BTLhH2SomLTdf36tCnEGn%2BeQHLv4M0t8G21mKGMG4phn8TdXdzHAYxl0jGubxScon%2BzFwAU%3D,200,-,272,272,36,35,https://s3-console-us-standard.console.aws.amazon.com/GetResource/Console.html?region=us-west-2&pageLoadStartTime=1477539364735,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-10-28T15:44:38+00:00,74.96.111.45,arn:aws:iam::688542879810:user/ajelenak,139E16E43AFA8E3F,REST.GET.OBJECT,logs/2016-10-28-03-33-03-D5AB4FFFC1B24010,GET,/cloudydap/logs/2016-10-28-03-33-03-D5AB4FFFC1B24010?X-Amz-Date=20161028T154157Z&X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Signature=7fc24e965c8d7ad8d0ee1b34c147aa7c14368ac1fd4f817316720d65753c66f6&X-Amz-Credential=ASIAINAFGRIYSFBZNKLQ/20161028/us-east-1/s3/aws4_request&X-Amz-SignedHeaders=Host&x-amz-security-token=FQoDYXdzEBgaDDIjZY6i%2BS%2BPmFVb/SKiA7eEUD4CUZvEwICh79l2HnR%2BjLL2BOCKF0Ipd85/Bj26Pc/IHQgEUr0dI0zXpgGolOyThD2hV/mVswiOWaoNsYQSsGzmIqFxR%2B%2Bd1PhQlKI1SLjlEmtnC9vlxzTu4JqJx%2B5mSMs9Rwlra6qr1CdJ5X3FezB2lih5L/pxSwhyCmHsLDi3H3nLRT3fouYszL66zDkU/ZL6BVGyGni0XbDmlvTwrGTGLWS3UmHFWH/HjGl%2BqdfI9cDJOZ3eT0XmR8Qld8CJlRAseZ7KCkIGcgxurrQg5mJFXg/po/37UhYgfj6t3toVrGYOIparjpZgaj7DuMZ4v52s4Jz2BhhhHAJn34vaklbPWVtXqQJIrF1G4fB98zmmOgqOG0Ww5ZX1inVNSGNqb%2BEhaDmGkIYoSD60DHc1TrPCIxeYpDEfvEfPiQJ8Xc%2B/UYNaWE5gjX%2BACvWjN8PrFhaln/I8kQldYbMfYk/31xd/cfsDRV5TKsP3UEZea0nWhlChjEPHchclUDRhu67wXeRwpCzoG%2Bx51yYxbl4w7OeDsFNbyb/2JWNygawz7cwostDNwAU%3D,200,-,368,368,76,75,https://s3-console-us-standard.console.aws.amazon.com/GetResource/Console.html?region=us-west-2&pageLoadStartTime=1477666889404,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-10-28T15:14:10+00:00,74.96.111.45,arn:aws:iam::688542879810:user/ajelenak,14DB711A0750F6DA,REST.GET.OBJECT,logs/2016-10-28-10-21-15-6A21B422CBBA028A,GET,/cloudydap/logs/2016-10-28-10-21-15-6A21B422CBBA028A?X-Amz-Date=20161028T151207Z&X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Signature=d6bd8593076e1748b18cb63678d89616827b8414524539bc9c6524a95d6ce6ac&X-Amz-Credential=ASIAINAFGRIYSFBZNKLQ/20161028/us-east-1/s3/aws4_request&X-Amz-SignedHeaders=Host&x-amz-security-token=FQoDYXdzEBgaDDIjZY6i%2BS%2BPmFVb/SKiA7eEUD4CUZvEwICh79l2HnR%2BjLL2BOCKF0Ipd85/Bj26Pc/IHQgEUr0dI0zXpgGolOyThD2hV/mVswiOWaoNsYQSsGzmIqFxR%2B%2Bd1PhQlKI1SLjlEmtnC9vlxzTu4JqJx%2B5mSMs9Rwlra6qr1CdJ5X3FezB2lih5L/pxSwhyCmHsLDi3H3nLRT3fouYszL66zDkU/ZL6BVGyGni0XbDmlvTwrGTGLWS3UmHFWH/HjGl%2BqdfI9cDJOZ3eT0XmR8Qld8CJlRAseZ7KCkIGcgxurrQg5mJFXg/po/37UhYgfj6t3toVrGYOIparjpZgaj7DuMZ4v52s4Jz2BhhhHAJn34vaklbPWVtXqQJIrF1G4fB98zmmOgqOG0Ww5ZX1inVNSGNqb%2BEhaDmGkIYoSD60DHc1TrPCIxeYpDEfvEfPiQJ8Xc%2B/UYNaWE5gjX%2BACvWjN8PrFhaln/I8kQldYbMfYk/31xd/cfsDRV5TKsP3UEZea0nWhlChjEPHchclUDRhu67wXeRwpCzoG%2Bx51yYxbl4w7OeDsFNbyb/2JWNygawz7cwostDNwAU%3D,200,-,367,367,52,52,https://s3-console-us-standard.console.aws.amazon.com/GetResource/Console.html?region=us-west-2&pageLoadStartTime=1477666889404,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-10-28T15:45:09+00:00,74.96.111.45,arn:aws:iam::688542879810:user/ajelenak,89E1BA2104095551,REST.GET.OBJECT,logs/2016-10-28-14-50-47-97A5B78A88EA900E,GET,/cloudydap/logs/2016-10-28-14-50-47-97A5B78A88EA900E?X-Amz-Date=20161028T154228Z&X-Amz-Expires=300&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Signature=344b821475e0f371bbba0030458ef38aaf37236a0460a5c84f2c193f5913a389&X-Amz-Credential=ASIAINAFGRIYSFBZNKLQ/20161028/us-east-1/s3/aws4_request&X-Amz-SignedHeaders=Host&x-amz-security-token=FQoDYXdzEBgaDDIjZY6i%2BS%2BPmFVb/SKiA7eEUD4CUZvEwICh79l2HnR%2BjLL2BOCKF0Ipd85/Bj26Pc/IHQgEUr0dI0zXpgGolOyThD2hV/mVswiOWaoNsYQSsGzmIqFxR%2B%2Bd1PhQlKI1SLjlEmtnC9vlxzTu4JqJx%2B5mSMs9Rwlra6qr1CdJ5X3FezB2lih5L/pxSwhyCmHsLDi3H3nLRT3fouYszL66zDkU/ZL6BVGyGni0XbDmlvTwrGTGLWS3UmHFWH/HjGl%2BqdfI9cDJOZ3eT0XmR8Qld8CJlRAseZ7KCkIGcgxurrQg5mJFXg/po/37UhYgfj6t3toVrGYOIparjpZgaj7DuMZ4v52s4Jz2BhhhHAJn34vaklbPWVtXqQJIrF1G4fB98zmmOgqOG0Ww5ZX1inVNSGNqb%2BEhaDmGkIYoSD60DHc1TrPCIxeYpDEfvEfPiQJ8Xc%2B/UYNaWE5gjX%2BACvWjN8PrFhaln/I8kQldYbMfYk/31xd/cfsDRV5TKsP3UEZea0nWhlChjEPHchclUDRhu67wXeRwpCzoG%2Bx51yYxbl4w7OeDsFNbyb/2JWNygawz7cwostDNwAU%3D,200,-,365,365,38,38,https://s3-console-us-standard.console.aws.amazon.com/GetResource/Console.html?region=us-west-2&pageLoadStartTime=1477666889404,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",-
